Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
13/06/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
13/06/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
13/06/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
13/07/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
13/07/2024,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1
13/08/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
13/08/2023,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,1
13/08/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
13/09/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
13/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
13/09/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
13/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
13/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
13/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
13/10/2023,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1
13/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
13/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
13/10/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
13/10/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
13/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
13/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
13/11/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
13/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
13/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
14/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
14/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
14/02/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
14/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
14/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/04/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
14/05/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
14/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
14/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
14/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
14/05/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1
14/06/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/07/2023,EASTWOOD,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
14/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
14/07/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
14/07/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
14/07/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/07/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
14/08/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
14/08/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/08/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
14/08/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/08/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
14/09/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
14/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
14/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
14/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
14/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
14/11/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
14/11/2023,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
14/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
14/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
15/01/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
15/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,2
15/02/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
15/02/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/02/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
15/02/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
15/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
15/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
15/03/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1
15/03/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
15/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,3
15/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
15/04/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
15/04/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
15/05/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
15/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,3
15/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
15/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,3
15/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
15/05/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
15/05/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/05/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
15/05/2024,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,3
15/06/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
15/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
15/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
15/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,2
15/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
15/07/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
15/07/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
15/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/09/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/11/2023,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
15/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,2
15/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,5
15/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
15/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
15/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1
15/12/2023,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
15/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1
15/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
15/12/2023,UNLEY,5061,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
15/12/2023,UNLEY,5061,OFFENCES AGAINST THE PERSON,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1
16/01/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
16/02/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
16/02/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
16/02/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
16/03/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
16/03/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
16/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
16/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
16/03/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
16/03/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,2
16/03/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
16/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
16/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
16/04/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
16/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
16/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
16/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
16/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
16/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
16/06/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
16/06/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,1
16/06/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
16/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
16/07/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
16/08/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
16/08/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
16/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
16/09/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
16/09/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
16/09/2023,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1
16/09/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
16/10/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
16/11/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
16/11/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
16/11/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
16/12/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
17/01/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,2
17/01/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
17/02/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
17/02/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
17/02/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
17/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
17/03/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1
17/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
17/04/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
17/04/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
17/05/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
17/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
17/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
17/05/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
17/05/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
17/06/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
17/07/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
17/07/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
17/07/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
17/07/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
17/07/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
17/07/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
17/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
17/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
17/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
17/11/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
17/12/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
17/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
17/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
18/01/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
18/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
18/02/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
18/02/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1
18/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
18/03/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
18/03/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Assault police,1
18/03/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
18/03/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
18/03/2024,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
18/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,2
18/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
18/04/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
18/04/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
18/05/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
18/06/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
18/07/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
18/07/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
18/07/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Assault police,1
18/08/2023,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
18/09/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
18/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1
18/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
18/09/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1
18/10/2023,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
18/10/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
18/12/2023,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
18/12/2023,PARKSIDE,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
18/12/2023,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
19/01/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
19/01/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1
19/01/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
19/02/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,2
19/02/2024,FULLARTON,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
19/02/2024,PARKSIDE,5063,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
19/02/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
19/03/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from motor vehicle,1
19/03/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,2
19/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
19/03/2024,UNLEY,5061,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
19/04/2024,EASTWOOD,5063,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,4
19/05/2024,FULLARTON,5063,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
